,continentName,countryName,province_zipCode,province_confirmedCount,province_curedCount,province_deadCount,cityName,updateTime
2020-01-22,北美洲,美国,971002.0,6.0,0.0,0.0,,2020-01-22
2020-01-23,北美洲,美国,971002.0,6.0,0.0,0.0,,2020-01-23
2020-01-24,北美洲,美国,971002.0,6.0,0.0,0.0,,2020-01-24
2020-01-25,北美洲,美国,971002.0,6.0,0.0,0.0,,2020-01-25
2020-01-26,北美洲,美国,971002.0,6.0,0.0,0.0,,2020-01-26
2020-01-27,北美洲,美国,971002.0,6.0,0.0,0.0,,2020-01-27
2020-01-28,北美洲,美国,971002.0,6.0,0.0,0.0,,2020-01-28
2020-01-29,北美洲,美国,971002.0,6.0,0.0,0.0,,2020-01-29
2020-01-30,北美洲,美国,971002.0,6.0,0.0,0.0,,2020-01-30
2020-01-31,北美洲,美国,971002.0,6.0,0.0,0.0,,2020-01-31
2020-02-01,北美洲,美国,971002.0,6.0,0.0,0.0,,2020-02-01
2020-02-02,北美洲,美国,971002.0,8.0,0.0,0.0,,2020-02-02
2020-02-03,北美洲,美国,971002.0,9.0,0.0,0.0,,2020-02-03
2020-02-04,北美洲,美国,971002.0,11.0,0.0,0.0,,2020-02-04
2020-02-05,北美洲,美国,971002.0,11.0,0.0,0.0,,2020-02-05
2020-02-06,北美洲,美国,971002.0,12.0,0.0,0.0,,2020-02-06
2020-02-07,北美洲,美国,971002.0,12.0,0.0,0.0,,2020-02-07
2020-02-08,北美洲,美国,971002.0,12.0,0.0,0.0,,2020-02-08
2020-02-09,北美洲,美国,971002.0,12.0,0.0,0.0,,2020-02-09
2020-02-10,北美洲,美国,971002.0,12.0,0.0,0.0,,2020-02-10
2020-02-11,北美洲,美国,971002.0,13.0,0.0,0.0,,2020-02-11
2020-02-12,北美洲,美国,971002.0,13.0,3.0,0.0,,2020-02-12
2020-02-13,北美洲,美国,971002.0,14.0,3.0,0.0,,2020-02-13
2020-02-14,北美洲,美国,971002.0,15.0,3.0,0.0,,2020-02-14
2020-02-15,北美洲,美国,971002.0,15.0,3.0,0.0,,2020-02-15
2020-02-16,北美洲,美国,971002.0,15.0,3.0,0.0,,2020-02-16
2020-02-17,北美洲,美国,971002.0,15.0,3.0,0.0,,2020-02-17
2020-02-18,北美洲,美国,971002.0,15.0,3.0,0.0,,2020-02-18
2020-02-19,北美洲,美国,971002.0,15.0,3.0,0.0,,2020-02-19
2020-02-20,北美洲,美国,971002.0,15.0,3.0,0.0,,2020-02-20
2020-02-21,北美洲,美国,971002.0,15.0,3.0,0.0,,2020-02-21
2020-02-22,北美洲,美国,971002.0,35.0,3.0,0.0,,2020-02-22
2020-02-23,北美洲,美国,971002.0,35.0,3.0,0.0,,2020-02-23
2020-02-24,北美洲,美国,971002.0,35.0,3.0,0.0,,2020-02-24
2020-02-25,北美洲,美国,971002.0,53.0,3.0,0.0,,2020-02-25
2020-02-26,北美洲,美国,971002.0,57.0,3.0,0.0,,2020-02-26
2020-02-27,北美洲,美国,971002.0,60.0,3.0,0.0,,2020-02-27
2020-02-28,北美洲,美国,971002.0,60.0,3.0,0.0,,2020-02-28
